Package,Latest
@emotion/react,11.14.0
@emotion/styled,11.14.1
@fulll/api-endpoint-directory,1.0.15
@fulll/auth-sdk,1.7.2
@fulll/mui-activity-center,4.0.40
@fulll/mui-announcement,2.0.25
@fulll/mui-auth,3.5.0
@fulll/mui-avatar,2.2.14
@fulll/mui-core,1.2.14
@fulll/mui-drawer,3.5.21
@fulll/mui-ellipsis,2.0.9
@fulll/mui-intercom,1.0.2
@fulll/mui-launchpad,2.2.23
@fulll/mui-layout,1.3.4
@fulll/mui-list-select,2.0.20
@fulll/mui-panel,2.1.13
@fulll/mui-snackbar,2.0.15
@fulll/mui-table-filters,1.1.1
@fulll/mui-theme,4.0.1
@fulll/mui-toolbar,1.1.9
@fulll/mui-topbar,3.0.22
@fulll/onesky,3.0.3
@fulll/pdf,3.0.6
@fulll/polyfill,1.0.11
@fulll/trk-report-client,3.1.2
@fulll/ui-core,1.1.43
@fulll/ui-theme-fulll,1.0.8
@fulll/ui-theme-ied,1.0.20
@mui/icons-material,7.3.2
@mui/lab,7.0.0-beta.17
@mui/material,7.3.2
@mui/system,7.3.2
@mui/x-charts,8.12.0
@mui/x-data-grid,8.12.1
@mui/x-data-grid-pro,8.12.1
@mui/x-date-pickers-pro,8.12.0
@mui/x-license-pro,6.10.2
@nivo/axes,0.99.0
@nivo/bar,0.99.0
@nivo/core,0.99.0
@sentry/react,10.15.0
@tanstack/react-query,5.90.2
@tanstack/react-query-devtools,5.90.2
@tanstack/react-router,1.132.7
@testing-library/dom,10.4.1
babel-plugin-relay,20.1.1
browser-update,3.3.60
dayjs,1.11.18
eslint-plugin-react-compiler,19.1.0-rc.2
exceljs,4.4.0
framer-motion,12.23.22
graphql,16.11.0
graphql-code-generator,0.18.2
graphql-request,7.2.0
husky,9.1.7
jotai,2.15.0
jotai-devtools,0.13.0
jotai-optics,0.4.0
lodash.isempty,4.4.0
optics-ts,2.4.1
pdfjs-dist,5.4.149
postcss,8.5.6
query-string,9.3.1
react,19.1.1
react-app-polyfill,3.0.0
react-dom,19.1.1
react-error-boundary,6.0.0
react-hook-form,7.63.0
react-joyride,2.9.3
react-relay,20.1.1
react-router,7.9.2
react-router-dom,7.9.2
react-use,17.6.0
react-window,2.1.1
relay-compiler,20.1.1
relay-runtime,20.1.1
styled-components,6.1.19
uuid,13.0.0
zod,4.1.11